LocationName	zone	altitude
AJGR	2.0	627.8
BSCR	2.0	462.3
BUDF	10.0	490.2
KBRL	7.0	510.5
KTGM	2.0	530.3
RCTZ	7.0	440.9
SMHK	2.0	404.4
SZGL	2.0	391.9
ULGW	6.0	627.1
UTLI	10.0	863.6
WMOO	4.0	526.3
WRTW	2.0	451.4
WSUM	10.0	424.7
ZALL	5.0	422.7
ZAML	2.0	445.5
ZAZG	2.0	430.6
ZBLG	2.0	410.7
ZBRC	2.0	436.0
ZDLT	5.0	448.4
ZECB	2.0	406.8
ZFBL	5.0	443.4
ZFHB	8.0	518.5
ZFRK	2.0	442.0
ZGHD	2.0	413.5
ZHBG	10.0	683.9
ZHBR	2.0	615.8
ZHRG	3.0	410.5
ZHRO	2.0	397.6
ZHRZ	3.0	429.5
ZLDW	5.0	405.9
ZLMT	14.0	407.8
ZNEU	2.0	404.7
ZORL	5.0	439.9
ZPFW	1.0	402.5
ZPRD	2.0	409.7
ZRDH	3.0	470.0
ZSBN	3.0	415.4
ZSCH	2.0	413.1
ZSEF	2.0	415.1
ZSTA	2.0	420.8
ZSTL	2.0	430.8
ZSZW	7.0	602.2
ZTBN	2.0	402.9
ZUBG	3.0	480.7
ZUE	3.0	408.8
ZWCH	2.0	450.0
